Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2021-01-01,1,Ciutat Vella,1,el Raval,6,1017,655,1
2021-01-01,1,Ciutat Vella,1,el Raval,6,1017,126,2
2021-01-01,1,Ciutat Vella,1,el Raval,6,1017,80,3
2021-01-01,1,Ciutat Vella,1,el Raval,6,1017,29,4
2021-01-01,1,Ciutat Vella,1,el Raval,6,1017,5,5
2021-01-01,1,Ciutat Vella,1,el Raval,7,1018,416,1
2021-01-01,1,Ciutat Vella,1,el Raval,7,1018,66,2
2021-01-01,1,Ciutat Vella,1,el Raval,7,1018,44,3
2021-01-01,1,Ciutat Vella,1,el Raval,7,1018,12,4
2021-01-01,1,Ciutat Vella,1,el Raval,7,1018,11,5
2021-01-01,1,Ciutat Vella,1,el Raval,7,1019,896,1
2021-01-01,1,Ciutat Vella,1,el Raval,7,1019,113,2
2021-01-01,1,Ciutat Vella,1,el Raval,7,1019,74,3
2021-01-01,1,Ciutat Vella,1,el Raval,7,1019,26,4
2021-01-01,1,Ciutat Vella,1,el Raval,7,1019,16,5
2021-01-01,1,Ciutat Vella,1,el Raval,7,1020,795,1
2021-01-01,1,Ciutat Vella,1,el Raval,7,1020,87,2
2021-01-01,1,Ciutat Vella,1,el Raval,7,1020,30,3
2021-01-01,1,Ciutat Vella,1,el Raval,7,1020,6,4
2021-01-01,1,Ciutat Vella,1,el Raval,7,1020,5,5
2021-01-01,1,Ciutat Vella,1,el Raval,8,1021,884,1
2021-01-01,1,Ciutat Vella,1,el Raval,8,1021,65,2
2021-01-01,1,Ciutat Vella,1,el Raval,8,1021,28,3
2021-01-01,1,Ciutat Vella,1,el Raval,8,1021,18,4
2021-01-01,1,Ciutat Vella,1,el Raval,8,1021,3,5
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,521,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,51,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,23,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,4,4
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1,5
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,796,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,72,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,42,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,6,4
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,3,5
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,540,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,46,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,30,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,2,4
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,557,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,54,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,23,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,8,4
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1,5
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,594,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,58,2
